material_id,composition,G_vrh
mp-864772,Li1 Sc2 Au1,36.814
mp-23818,Ba1 Li1 H3,38.849
mp-2468815,Li2 Co2 S4,31.703
mp-861665,Li1 Tm1 In2,18.108
mp-862316,Li1 Be1 Pt2,79.648
mp-977418,Li1 Mg1 Au2,18.185
mp-973979,Li1 Fe1 Pd2,34.793
mp-864601,Li1 Mg2 Rh1,29.172
mp-861905,Li1 Bi1 Pd2,15.71
mp-4586,Li2 Al2 Te4,13.523
mp-2927,Li1 Ag2 Sn1,23.975
mp-23703,Li1 H1,42.538
mp-774712,Li2 Cu2 S2,17.871
mp-864930,Li1 Ti1 Ir2,77.224
mp-10616,Ba1 Li1 As1,22.719
mp-864598,Li1 Mg2 Ag1,22.76
mp-37879,Li2 Y2 Se4,30.214
mp-864997,Li1 Si1 Pd2,50.183
mp-974950,Rb3 Li1,1.129
mp-34477,Li2 Sm2 S4,32.154
mp-861663,Li1 Rh2 Pb1,52.058
mp-570213,Li1 Mg1 Bi1,21.657
mp-863697,Li1 Pm2 Si1,30.263
mp-976262,Li3 Mg3,18.66
mp-13276,Sr2 Li2 P2,36.89
mp-8864,Li1 Co6 P4,100.91
mp-977218,Li4 Mg2,7.239
mp-27454,Ba2 Li4 Si2,16.167
mp-30818,Li2 Al1 Pt1,37.313
mp-12411,Li2 Zn1 Ge1,38.377
mp-8181,Li2 Ce1 N2,65.413
mp-7924,Li4 Sn10,18.289
mp-30080,Li2 Ge1 Pd1,22.035
mp-2661453,Li2 H2 Pt1,26.895
mp-9912,Li2 Ce1 P2,35.063
mp-861651,Li2 Pd1 Pb1,20.181
mp-4779,Li8 B16 O28,40.743
mp-27705,Li4 Si2,23.382
mp-866179,Li2 Nd1 Tl1,28.708
mp-5012,Li4 Si2 O6,51.443
mp-4002,Li2 Zr1 F6,35.314
mp-30816,Li2 Al1 Pd1,29.042
mp-4556,Li8 S4 O16,21.273
mp-7779,Li2 Nd1 As2,19.862
mp-865666,Li2 Tl1 Ag1,17.026
mp-1185209,Li8 Zn4 Si4,42.979
mp-22961,Li4 Zn2 Cl8,15.897
mp-31441,Li2 Ga1 Ir1,41.728
mp-10525,Na1 Li2 N1,-24.612
mp-567389,Li2 Zn1 Ge1,25.919
mp-567347,Li2 Ag1 Sn1,20.768
mp-865874,Li2 Ag1 Hg1,9.484
mp-15988,Li2 Cu1 Sb1,33.809
mp-2170,Li2 Pt1,30.516
mp-30820,Li2 Al1 Rh1,39.204
mp-30758,Li2 Mg1 Pb1,14.747
mp-973343,Li2 Mg1 Hg1,18.917
mp-2987,Li2 Mg1 Tl1,14.225
mp-728,Li2 Pd1,21.97
mp-557142,Li4 S2,24.251
mp-752881,Li2 Cu1 S2,16.474
mp-20484,Li2 Fe1 Cu1 C6 N6,-37.207
mp-30591,Li2 Cu1 Sn1,30.448
mp-862934,Li2 Pm1 Tl1,30.085
mp-35841,Li2 Cu1 Ge1,40.226
mp-865871,Li2 Zn1 Au1,4.542
mp-4630,Li4 Ru2 O6,-50.211
mp-865737,Li2 In1 Sn1,14.569
mp-570771,Ba1 Li2 Mg2 Si2,29.927
mp-1960,Li2 O1,68.452
mp-31324,Li4 In2,23.649
mp-1025473,Li4 Nd2 Ge2,27.258
mp-866194,Li2 Mg1 Cd1,20.86
mp-28250,Li2 Mn1 Br4,11.927
mp-15901,Li2 La1 Ta2 O7,69.73
mp-1029385,Li2 Sn1 N2,85.985
mp-30406,Li2 Tl1 Au1,8.488
mp-2988,Li2 Ga1 Rh1,35.873
mp-3216,Li2 Zr1 N2,113.262
mp-976114,Li2 Cd1 Hg1,12.342
mp-865965,Li2 Ca1 Si1,29.73
mp-29210,Li4 Ga2,27.31
mp-866196,Li2 Pr1 In1,27.925
mp-11644,Li4 Ca2,8.546
mp-15686,Li4 Cu2 As2,37.96
mp-9610,Li2 C1 N2,19.417
mp-865713,Li2 Tl1 Bi1,22.827
mp-31168,Li2 Al1 Ag1,25.281
mp-756597,Li4 Hf2 O6,52.736
mp-21026,Li2 In1 Pt1,18.408
mp-866176,Li2 Pd1 Au1,23.405
mp-865867,Li2 Y1 Tl1,32.362
mp-30392,Li2 In1 Au1,16.653
mp-865582,Li2 Cd1 Pd1,7.951
mp-1020019,Li4 P2 N2 O4,60.241
mp-20106,Li4 Nd2 Sb4,21.469
mp-3158,Li2 Sb1 Pt1,28.96
mp-866202,Li2 Sn1 Pt1,29.364
mp-1125,Li8 S4,20.471
mp-22446,Li4 Pr2 Sb4,21.813
mp-4117,Li4 Si4 O10,49.052
mp-861184,Li2 W1 S4,2.584
mp-862930,Li2 Pm1 In1,30.714
mp-977207,Li4 Mg2,3.332
mp-556777,Li4 C2 O6,40.321
mp-10180,Li2 Sb1 Pd1,27.178
mp-753195,Li2 W1 S4,4.129
mp-755352,Li4 Hf2 O6,66.947
mp-2724101,Li2 Hf1 O3,45.772
mp-1153,Li2 S1,33.875
mp-36864,Li4 Ti2 O6,87.311
mp-865986,Li2 Ca1 Ge1,26.755
mp-12128,Li2 Mg1 In1,20.946
mp-865935,Li2 Mg1 Sn1,21.546
mp-865863,Li2 Tl1 Pd1,13.18
mp-30344,Li2 In1 Ag1,15.372
mp-865714,Li2 Hg1 Au1,7.09
mp-841,Li4 O4,50.633
mp-29009,Li2 Mg1 Br4,12.262
mp-16271,Li2 Cd1 Sb1,0.834
mp-2931,Li8 Ti4 O12,71.679
mp-865987,Li2 Ag1 Pd1,10.22
mp-3201,Li2 Ga1 Pd1,26.29
mp-865879,Li2 Ag1 Au1,17.539
mp-865731,Li2 Hg1 Pd1,13.98
mp-30349,Li2 Ag1 Pb1,13.522
mp-12580,Li2 Cd1 Sn1,23.104
mp-867171,Sr1 Li2 Sn1,21.366
mp-752843,Li2 Cu1 F4,15.213
mp-983425,Li2 Pm1 Ge1,26.433
mp-756187,Li4 Fe2 S4,13.543
mp-866193,Li2 La1 In1,26.277
mp-976843,Li4 Mg2,15.238
mp-865897,Li2 Ac1 In1,19.316
mp-862948,Li2 Pm1 Pb1,24.17
mp-2356674,Li2 Nb1 F6,128.338
mp-11490,Li2 Zn1 Sn1,27.734
mp-5077,Na1 Li2 Sb1,22.606
mp-884085,Li4 Cu2 S4,10.234
mp-4711,Li2 Cu1 O2,43.976
mp-3054,Li4 C2 O6,28.12
mp-31496,Li4 Sn4 Au2,21.387
mp-644389,Li2 H2 Pd1,29.177
mp-21029,Li2 In1 Pd1,17.086
mp-631316,Li2 Ga1 Sb1,32.36
mp-865964,Li2 Ca1 Sn1,27.664
mp-22980,Li2 Co1 Cl4,1.69
mp-754534,Li2 Ce1 O3,38.795
mp-1001914,Li2 Sn1 Ir1,24.121
mp-7777,Li2 Pr1 P2,23.079
mp-15885,Li4 U2 S6,25.019
mp-12029,Li4 Cu2 P2,47.499
mp-4156,Li4 Zr2 O6,55.316
mp-760539,Li2 Ti3 O6,61.957
mp-30405,Li2 Sn1 Au1,21.316
mp-606604,Cs1 Li2 F3,18.167
mp-570950,Na1 Li2 N1,13.772
mp-30381,Li2 Ga1 Au1,25.706
mp-7603,Li4 Ti2 F12,30.935
mp-2492941,Li4 Nb2 S6,32.578
mp-973325,Li2 Mg1 Ge1,25.839
mp-10686,Li2 Cd1 Ge1,20.058
mp-865932,Li2 Ce1 Pb1,33.556
mp-11304,Li2 Cd1 Pb1,11.955
mp-754238,Li2 Cu1 Bi1 O4,55.545
mp-1018009,Li2 Mg1 Si1,36.356
mp-7608,Li2 Pd1 O2,43.646
mp-975997,Na1 Li2 Pb1,13.808
mp-755894,Li8 O4,44.318
mp-570528,Li2 Ga1 Ir1,4.657
mp-1545896,Li12 Sb6,23.465
mp-866181,Li2 Nd1 In1,29.888
mp-1014462,Li2 Y1 Al1,-9.986
mp-865067,Li2 Eu1 Ge1,23.508
mp-2935,Li2 Ge1 Au1,28.556
mp-22967,Li2 Fe1 Br4,16.303
mp-31442,Li2 In1 Rh1,25.237
mp-30403,Li2 Pb1 Au1,11.552
mp-30404,Li2 Sb1 Au1,21.767
mp-1029776,Li8 Ge4 N8,43.636
mp-5446,Li2 Pr1 O3,21.617
mp-975578,Li2 Sn1 Hg1,-26.63
mp-16238,Li2 Ag1 Sb1,20.639
mp-975608,Li2 Tl1 Pt1,17.316
mp-3726,Li2 Ga1 Pt1,28.95
mp-976333,Li2 Ac1 Tl1,14.653
mp-570466,Li8 Ca4,11.708
mp-19896,Li2 Ge1 Pb1 S4,19.979
mp-865577,Li2 Cd1 Au1,12.122
mp-866178,Li2 Nd1 Al1,29.333
mp-570998,Na1 Li2 N1,22.499
mp-16341,Li2 Hg1 Ge1,4.176
mp-569396,Ba1 Li2 Mg2 Ge2,27.584
mp-754213,Li2 Zr1 Cu1 O4,58.508
mp-2286,Li2 Se1,26.985
mp-976982,Li4 Mg2,-1.706
mp-760483,Li4 Pd2 O6,56.718
mp-975609,Li2 Tl1 Pb1,2.173
mp-31443,Li2 In1 Ir1,28.256
mp-19970,Li12 Cu4 O12,35.049
mp-545467,Li3 Cu2 O4,32.011
mp-975882,Li3 Cu1,12.521
mp-975794,Li3 Be1,14.376
mp-752426,Li6 Sb2 S8,25.974
mp-36086,Li3 Nb1 O4,90.318
mp-976256,Li3 Mg1,4.316
mp-976321,Li3 Pr1,1.26
mp-2341,Li6 N2,44.749
mp-975904,Li3 Cd1,8.36
mp-977239,Li3 Th1,5.399
mp-28336,Li12 P28,11.791
mp-976075,Li3 Ca1,7.417
mp-977230,Li3 Tc1,15.88
mp-867342,Li3 Ge1,22.258
mp-551675,Li3 U1 O4,64.714
mp-976334,Li3 Tc1,18.07
mp-976263,Li3 Nb1,26.561
mp-753982,Li3 Cr1 S4,5.266
mp-757,Li6 As2,30.48
mp-9568,Li3 Ga2,28.594
mp-25317,Li3 Cu2 O4,33.635
mp-13725,Li6 P2 O8,43.757
mp-976139,Li3 Mg1,11.268
mp-976254,Li3 Mg1,4.952
mp-1018780,Li3 Sm1 Bi2,28.031
mp-976017,Li3 Co1,14.761
mp-755309,Li3 Nb1 S4,7.241
mp-975868,Li3 Al1,18.203
mp-985583,Li12 P4 S16,11.673
mp-35417,Li3 Ta1 O4,91.621
mp-977165,Li6 Co2,-4.58
mp-11247,Li3 Au1,9.25
mp-753081,Li3 Cu4 O4,23.563
mp-2074,Li3 Sb1,25.62
mp-861228,Li6 Cu2 S4,19.728
mp-16506,Li3 Al2,32.272
mp-736,Li6 P2,34.45
mp-1029562,Li24 In8 N16,58.145
mp-973316,Na2 Li6,5.99
mp-760415,Li3 Sb1 S4,13.461
mp-8407,Li3 La1 P2,45.426
mp-760375,Li3 V1 S4,5.774
mp-867226,Li3 In1,16.087
mp-13944,Li24 Al8 N16,99.981
mp-976264,Li3 Nd1,1.22
mp-867227,Li3 Pt1,15.779
mp-985585,Li3 Cl1 O1,38.236
mp-1646,Li3 Hg1,5.618
mp-28593,Li3 Br1 O1,35.622
mp-977126,Li6 Ag2,7.681
mp-867343,Li3 Cd1,5.553
mp-16828,Li6 B14 O24,39.327
mp-983152,Li6 Re2,-74.316
mp-976055,Li3 In1,16.433
mp-1029592,Li24 Y8 N16,44.751
mp-15254,Li18 Al6 F36,29.604
mp-1018770,Li3 Pr1 Bi2,27.09
mp-976047,Li3 Hg1,15.939
mp-30760,Li3 Pb1,15.278
mp-2251,Li3 N1,33.607
mp-977286,Li3 Sm1,0.826
mp-7955,Li6 Sb2,24.195
mp-850275,Li3 Sb1 S4,5.909
mp-1018764,Li3 Ho1 Sb2,33.579
mp-976412,Li3 Zn1,5.488
mp-976407,Li3 Ac1,8.239
mp-976023,Li3 Ga1,19.231
mp-976408,Li3 Ag1,12.498
mp-27275,Li12 B4 O12,42.251
mp-7396,Li3 Tl1,14.643
mp-976010,Li3 Cr1,6.546
mp-976414,Li3 Zn1,63.284
mp-542435,Li24 Sc8 N16,60.664
mp-23222,Li3 Bi1,21.021
mp-3887,Li24 Ga8 N16,87.141
mp-11489,Li3 Pd1,15.968
mp-15999,Li6 Au2 S4,20.397
mp-976060,Li3 C1,33.718
mp-9172,Li8 Ti2 O8,43.617
mp-7714,Li4 U1 O5,52.804
mp-755298,Li4 Nb1 O4,37.488
mp-861182,Li4 Ti1 S4,14.592
mp-570097,Sr1 Li4 P2,33.657
mp-15845,Sr2 Li8 N4,28.749
mp-865604,Li5 Mg1,9.799
mp-685991,Li10 Si2 P6,27.044
mp-29364,Li5 Sb1 O5,64.692
mp-3838,Li10 Re2 N8,46.271
mp-12283,Li5 Tl2,16.195
mp-685194,Li8 Ti10 O24,60.558
mp-29149,Li4 N1 Cl1,28.342
mp-11737,Li8 Si2 O8,53.188
mp-759877,Li4 Cu1 F7,15.96
mp-29151,Li5 N1 Cl2,26.953
mp-7080,Li5 Ni3 N3,46.935
mp-29025,Li5 Br2 N1,16.903
mp-755013,Li5 Ta1 O5,68.963
mp-981935,Li5 Mg1,8.46
mp-30766,Li5 Sn2,21.604
mp-768197,Li5 Sb1 S4,24.406
mp-767409,Li5 Sb1 S1,29.197
mp-15960,Li40 Al8 O32,54.227
mp-1029448,Li10 Os2 N8,38.982
mp-770649,Li5 Nb1 O5,64.543
mp-1029826,Li12 Os2 N8,64.411
mp-950995,Li12 P2 S10 I2,13.335
mp-867701,Li6 Cu1 S4,11.558
mp-8804,Li12 Mo2 N8,67.066
mp-756490,Li12 Mn2 S8,26.741
mp-3503,Li12 W2 N8,68.603
mp-767525,Li6 Sb1 S2,12.923
mp-1029739,Li12 Fe2 N8,69.192
mp-1029498,Li12 Cr2 N8,72.584
mp-985591,Li6 P1 S5 Br1,-11.852
mp-985592,Li6 P1 S5 Cl1,-20.486
mp-1029726,Li12 Ir2 N8,58.897
mp-28592,Li7 Br3 O2,25.035
mp-30768,Li14 Sn6,23.766
mp-14753,Li56 Ta8 N32,64.79
mp-1029522,Li56 Sb8 N32,62.895
mp-30767,Li14 Sn4,22.949
mp-14827,Li56 Nb8 N32,63.726
mp-2468835,Li7 B18 O1,91.595
mp-4604,Li56 V8 N32,71.832
mp-27930,Li28 Si8,28.995
mp-28549,Li16 Si2 O12,56.475
mp-755225,Li8 Zr1 O6,55.213
mp-568404,Li9 Al4,23.614
mp-2362521,Li18 Ge8,29.535
mp-30769,Li13 Sn5,24.659
mp-672287,Li26 Si8,28.036
mp-510430,Li26 In6,17.785
mp-1020011,Li14 P2 N6 O3,68.471
mp-567395,Li30 Au8,13.292
mp-569849,Li30 Si8,20.993
mp-1777,Li30 Ge8,19.528
mp-865112,Na1 Pr1 Tl2,17.268
mp-866298,Ba2 Na2 Sc2 Si4 O14,48.571
mp-754326,Na1 Ag1 O2,26.511
mp-29356,Na4 Ti8 O16,77.985
mp-10474,Na1 P1 F6,10.027
mp-865118,Na1 Pr1 Au2,17.065
mp-22152,Na2 Fe2 As2,33.541
mp-571467,Cs2 Na1 Y1 Br6,8.079
mp-15318,Rb2 Na1 Ho1 F6,17.647
mp-865117,Na1 Er1 Tl2,23.846
mp-752947,Na1 Ti1 S2,36.796
mp-454,Na1 Ga4,22.906
mp-5558,Na2 Re2 O8,10.392
mp-4276,Na2 Si4 Pd6,46.48
mp-754375,Na1 Ti2 O3,81.135
mp-31235,Ba3 Na3 Bi3,16.323
mp-4170,Na1 Ta1 O3,111.744
mp-865110,Na1 Mg1 Tl2,13.0
mp-977181,Na1 Mo3,14.462
mp-675798,Na2 Ho2 F8,32.839
mp-4419,Na2 Nb2 O6,99.908
mp-4514,Na2 Nb2 O6,37.235
mp-989545,Rb2 Na1 Sb1 Cl6,9.127
mp-14433,Na2 Ge4 N6,77.934
mp-10525,Na1 Li2 N1,-24.612
mp-865126,Na1 Tl1 Pd2,-1.208
mp-27837,Na1 H1 F2,10.903
mp-973166,Na2 Cd6,10.71
mp-20227,Na2 Mn2 P2,34.395
mp-1002069,Na1 Li1 I1 Cl1,11.883
mp-504600,Na4 H16 Cl4 O8,10.767
mp-999126,Na1 Tb1 S2,27.446
mp-11466,Na1 Hg2,8.158
mp-7748,Na1 Al1 O2,87.199
mp-30053,Na2 C2 N2,11.602
mp-977176,Na1 Tc1 O3,92.535
mp-6686,K2 Na1 In1 F6,20.537
mp-13097,Na2 Zn2 As2,21.583
mp-4681,Na4 Nb4 O12,54.97
mp-7937,Na2 Nb2 S4,48.843
mp-3136,Na1 Nb1 O3,100.088
mp-13797,K2 Na1 Cu1 F6,24.134
mp-20343,Na2 Au2 O4,13.28
mp-865051,Na1 Ca2 Tl1,14.702
mp-862943,Na1 Pm1 Hg2,14.658
mp-999274,Rb1 Na1 H2,10.939
mp-23054,Na2 Bi2 O6,23.569
mp-7723,Na1 Al1 F4,90.834
mp-976856,Na1 Mg3,8.351
mp-22924,Na1 Bi1,12.854
mp-975994,Na1 La3,6.803
mp-631317,Na1 Ir1 Pb1,-166.496
mp-6633,Na4 C4 S4 N4,8.919
mp-5475,Na1 Ta1 N2,88.887
mp-7017,Na1 Nb1 N2,85.619
mp-976181,Na1 B1 H4,11.449
mp-865077,Na1 Cd3,-3.797
mp-4531,Na2 N2 O6,12.399
mp-977110,Na1 Sn1 Pd2,24.056
mp-23729,Na1 Be1 H3,49.113
mp-10225,Na1 V1 S2,19.874
mp-974558,Na1,2.856
mp-1002081,K1 Na1 I1 Cl1,8.011
mp-976150,Na1 Al3,25.378
mp-7942,Na1 Ti1 S2,34.134
mp-546500,Na1 C1 N1 O1,12.586
mp-38725,Na2 B2 H8,11.009
mp-6204,Cs2 Na1 Sc1 F6,17.639
mp-578601,Na1 Nb1 O2,63.662
mp-865115,Na1 Nd1 Hg2,14.872
mp-31086,Na4 P20,19.553
mp-999455,Na1 Sm1 S2,25.836
mp-982381,Na1 Cu3,23.089
mp-754777,Na1 La1 O2,32.067
mp-22212,Na4 Sb4 O12,94.186
mp-754825,Na1 Tm1 O2,53.39
mp-976870,Na1 Ni3,36.546
mp-2955,Na4 Mg4 F12,41.752
mp-634657,Na2 H2 S2,10.172
mp-865081,Na1 Ac1 Te2,10.792
mp-22003,Na1 N3,10.625
mp-676586,Na1 V2 S4,17.426
mp-865108,Na1 Sm1 Hg2,14.613
mp-9264,Na2 Te2 Au2,9.325
mp-989541,Rb2 Na1 Sb1 F6,17.354
mp-755586,Na2 La2 O4,37.902
mp-865076,Na1 Cd2 Pt1,22.098
mp-977140,Na1 Ta3,16.731
mp-570998,Na1 Li2 N1,22.499
mp-39681,Na1 Ti2 Bi1 O6,32.797
mp-999127,Na1 Tb1 Se2,23.515
mp-22862,Na1 Cl1,14.298
mp-555576,K2 Na2 S4 O14,12.267
mp-20612,Na2 Mn2 As2,22.44
mp-2720358,Na4 Cl4 O12,14.452
mp-999460,Na1 Sc1 S2,31.329
mp-10172,Na2,4.588
mp-23268,Na1 I1,8.31
mp-976923,Na1 Re1 O3,96.474
mp-962060,Na1 Y1 Si1,0.269
mp-755378,Na1 Pd1 O2,45.178
mp-865109,Na1 Sm1 Tl2,19.687
mp-1021431,Cs1 Na1 I1 Cl1,5.876
mp-999450,Na1 Sm1 Se2,21.517
mp-866128,Na1 Tm1 Tl2,23.164
mp-570538,Na1 N3,3.498
mp-1029316,Na2 Zr1 N2,24.691
mp-1974948,Na6 O3,23.696
mp-1266,Na2 Se1,15.694
mp-7725,Na2 U1 O4,33.502
mp-1025360,Na2 Ti2 As2 O1,26.878
mp-4366,Na2 Pt1 C2,25.524
mp-4533,Na4 Si2 O6,35.839
mp-20389,Na2 Cd1 Pb1,10.909
mp-648,Na2 S1,19.193
mp-690785,Na2 H6 Pt1,15.848
mp-862949,Na1 Pm1 Tl2,18.771
mp-13816,Cs2 Na1 Er1 F6,17.633
mp-560767,K2 Na2 Ti2 O6,27.905
mp-2408760,Na2 Cu4 O6,19.434
mp-976943,Na1 Re3,94.173
mp-8830,Na1 Rh1 O2,59.556
mp-9076,Na1 Tm1 S2,28.714
mp-3405,Na2 Al22 O34,69.533
mp-989644,Cs2 Na1 Ca1 Cl6,4.943
mp-862942,Na1 Pm1 Au2,18.208
mp-973174,Na1 Ag3,21.232
mp-23704,Na2 Al2 H8,13.109
mp-976261,Na1 Ca2 In1,15.823
mp-754027,Na2 Sm2 O4,48.531
mp-999470,Na1 Nd1 S2,24.811
mp-409,Na6 S6,13.293
mp-13798,K2 Na1 Tl1 F6,18.04
mp-560399,Na1 Mg1 F3,42.484
mp-756034,Na1 Sm1 O2,40.862
mp-23850,Na4 H8 N4,10.054
mp-23684,Na2 H2 C2 O4,12.017
mp-10224,Na1 V1 S2,33.967
mp-28614,Na2 B2 Pt6,34.515
mp-10422,Na1 Au1 C2,23.061
mp-255,Na4 Hg4,6.751
mp-4748,Na4 Nb4 O12,-58.617
mp-989578,Rb2 Na1 In1 F6,20.572
mp-961699,Na1 Mg1 P1,-142.864
mp-13925,Cs2 Na1 Y1 F6,16.618
mp-682,Na1 F1,30.163
mp-7090,Na2 Mg2 Sb2,16.18
mp-5175,Na1 In1 O2,50.611
mp-865100,Na1 In1 Hg2,9.66
mp-999474,Na1 Ho1 Se2,24.123
mp-4699,Na4 Ta4 O12,47.441
mp-1052,Na2 Au4,26.679
mp-8452,Na2 Li2 S2,23.768
mp-961774,Ba1 Na1 Sb1,11.206
mp-976076,Na1 Ac2 Sn1,15.328
mp-974883,Rb3 Na1,1.15
mp-3889,Na6 B6 O12,20.982
mp-3567,Na1 V1 Se2,-0.564
mp-962064,Na1 Y1 Sn1,-0.566
mp-981933,Na1 Pd2 Pb1,14.516
mp-23339,Na4 Br4 O12,16.231
mp-7939,Na2 Nb2 Se4,39.007
mp-7400,Na2 Al2 Ge2,17.053
mp-961685,Na1 Ca1 As1,21.704
mp-976220,Na1 Cd1 Hg2,8.211
mp-568428,K1 Na1 B2 H8,8.573
mp-14039,K2 Na1 Rh1 F6,22.615
mp-973352,Na2 Co6,168.403
mp-1029357,Na2 Zn2 N2,33.023
mp-5962,Na2 Mg2 As2,20.602
mp-6973,Cs2 Na2 S2,10.436
mp-976768,Na1 Mg3,5.894
mp-29069,Na1 Cu4 S4,22.313
mp-976133,Na1 As1 O3,121.985
mp-3744,Na2 Nb2 O4,99.169
mp-38103,Na1 Cl1 O4,11.502
mp-976863,Na1 Tm3,20.509
mp-976775,Na1 Mg1 O3,10.716
mp-950,Na2 Zn26,47.603
mp-978278,Na4 B24 H24,6.038
mp-989527,Cs2 Na1 N1 F6,18.173
mp-5693,Na1 Cr1 S2,34.579
mp-23918,Na2 Ga2 H8,8.089
mp-754718,Na2 Cu2 O4,20.992
mp-865098,Na1 La1 Au2,16.143
mp-30352,Na2 Ag4,20.815
mp-34240,Na1 Zn1 As1,15.206
mp-7914,Na1 Sc1 O2,66.176
mp-22483,Na2 In2 Te4,15.869
mp-975990,Na1 Li1 O3,13.061
mp-27335,Na2 Al2 Si2,19.975
mp-865107,Na1 Mg1 Pb2,7.06
mp-8754,Na4 Li4 Te4,15.62
mp-755581,Na1 Ce1 O2,36.388
mp-1008866,Na1 Ag1 O1,20.866
mp-4541,Na1 Cu1 O2,31.25
mp-1029407,Na2 Cr2 N4,88.233
mp-989514,Cs2 Na1 Sb1 Cl6,9.454
mp-3521,Na2 B2 F8,12.385
mp-10166,Na2 Al2 Se4,4.292
mp-13799,K2 Na1 Y1 F6,19.851
mp-989563,Rb2 Na1 Tl1 Cl6,8.845
mp-865119,Na1 Pr1 Hg2,14.842
mp-976968,Na1 Pd1 O3,38.431
mp-1007637,K1 Na1 H2,13.115
mp-20555,Na1 Pb3,14.898
mp-1029711,Na4 V4 N8,10.582
mp-570950,Na1 Li2 N1,13.772
mp-982370,Na4,3.678
mp-5339,Cs2 Na2 Te2,7.749
mp-865090,Na1 Ac1 Tl2,12.636
mp-23870,Na1 H1,19.487
mp-9069,K4 Na2 Al2 As4,14.515
mp-3671,Na8 Nb8 O24,59.156
mp-7440,Na8 P8,12.804
mp-977123,Na1 Ti1 O3,68.649
mp-27682,Na1 Sn1 S2,20.865
mp-9035,Na1 Lu1 S2,30.181
mp-977182,Na1 Nb3,176.789
mp-7002,Na1 Ti1 O2,63.701
