material_id,composition,K_vrh
mp-861667,Li1 Sb1 Rh2,149.879
mp-864772,Li1 Sc2 Au1,74.156
mp-23818,Ba1 Li1 H3,37.474
mp-2468815,Li2 Co2 S4,80.565
mp-861665,Li1 Tm1 In2,38.577
mp-862316,Li1 Be1 Pt2,165.822
mp-977418,Li1 Mg1 Au2,68.967
mp-973979,Li1 Fe1 Pd2,119.616
mp-864601,Li1 Mg2 Rh1,66.418
mp-861905,Li1 Bi1 Pd2,82.613
mp-4586,Li2 Al2 Te4,27.57
mp-2927,Li1 Ag2 Sn1,59.483
mp-23703,Li1 H1,36.35
mp-774712,Li2 Cu2 S2,53.764
mp-864930,Li1 Ti1 Ir2,190.484
mp-10616,Ba1 Li1 As1,34.083
mp-864598,Li1 Mg2 Ag1,44.769
mp-37879,Li2 Y2 Se4,45.569
mp-864997,Li1 Si1 Pd2,139.601
mp-974950,Rb3 Li1,3.577
mp-34477,Li2 Sm2 S4,50.115
mp-861663,Li1 Rh2 Pb1,125.906
mp-570213,Li1 Mg1 Bi1,31.336
mp-863697,Li1 Pm2 Si1,55.755
mp-976262,Li3 Mg3,25.743
mp-13276,Sr2 Li2 P2,44.645
mp-8864,Li1 Co6 P4,202.474
mp-977218,Li4 Mg2,21.078
mp-27454,Ba2 Li4 Si2,27.21
mp-30818,Li2 Al1 Pt1,84.603
mp-12411,Li2 Zn1 Ge1,48.483
mp-8181,Li2 Ce1 N2,110.495
mp-7924,Li4 Sn10,41.724
mp-30080,Li2 Ge1 Pd1,62.413
mp-2661453,Li2 H2 Pt1,49.367
mp-9912,Li2 Ce1 P2,57.891
mp-861651,Li2 Pd1 Pb1,50.293
mp-4779,Li8 B16 O28,41.92
mp-27705,Li4 Si2,32.884
mp-866179,Li2 Nd1 Tl1,39.457
mp-5012,Li4 Si2 O6,76.805
mp-4002,Li2 Zr1 F6,58.042
mp-30816,Li2 Al1 Pd1,68.314
mp-4556,Li8 S4 O16,45.0
mp-7779,Li2 Nd1 As2,44.285
mp-865666,Li2 Tl1 Ag1,32.933
mp-1185209,Li8 Zn4 Si4,52.049
mp-22961,Li4 Zn2 Cl8,31.855
mp-31441,Li2 Ga1 Ir1,95.635
mp-10525,Na1 Li2 N1,53.888
mp-567389,Li2 Zn1 Ge1,42.925
mp-567347,Li2 Ag1 Sn1,46.665
mp-865874,Li2 Ag1 Hg1,37.398
mp-15988,Li2 Cu1 Sb1,52.716
mp-2170,Li2 Pt1,66.968
mp-30820,Li2 Al1 Rh1,80.792
mp-30758,Li2 Mg1 Pb1,36.254
mp-973343,Li2 Mg1 Hg1,30.915
mp-2987,Li2 Mg1 Tl1,27.001
mp-728,Li2 Pd1,50.698
mp-557142,Li4 S2,38.36
mp-752881,Li2 Cu1 S2,45.823
mp-20484,Li2 Fe1 Cu1 C6 N6,55.127
mp-30591,Li2 Cu1 Sn1,52.666
mp-862934,Li2 Pm1 Tl1,39.836
mp-35841,Li2 Cu1 Ge1,58.787
mp-865871,Li2 Zn1 Au1,46.741
mp-4630,Li4 Ru2 O6,109.493
mp-865737,Li2 In1 Sn1,35.36
mp-570771,Ba1 Li2 Mg2 Si2,39.487
mp-1960,Li2 O1,78.6
mp-31324,Li4 In2,28.365
mp-1025473,Li4 Nd2 Ge2,43.547
mp-866194,Li2 Mg1 Cd1,28.998
mp-28250,Li2 Mn1 Br4,19.113
mp-15901,Li2 La1 Ta2 O7,107.176
mp-1029385,Li2 Sn1 N2,112.952
mp-30406,Li2 Tl1 Au1,45.771
mp-2988,Li2 Ga1 Rh1,81.563
mp-3216,Li2 Zr1 N2,132.436
mp-976114,Li2 Cd1 Hg1,30.724
mp-865965,Li2 Ca1 Si1,40.875
mp-29210,Li4 Ga2,33.134
mp-866196,Li2 Pr1 In1,38.333
mp-11644,Li4 Ca2,16.117
mp-15686,Li4 Cu2 As2,51.282
mp-9610,Li2 C1 N2,49.164
mp-865713,Li2 Tl1 Bi1,30.009
mp-31168,Li2 Al1 Ag1,50.135
mp-756597,Li4 Hf2 O6,95.328
mp-21026,Li2 In1 Pt1,71.969
mp-866176,Li2 Pd1 Au1,68.175
mp-865867,Li2 Y1 Tl1,41.319
mp-30392,Li2 In1 Au1,53.673
mp-865582,Li2 Cd1 Pd1,50.434
mp-1020019,Li4 P2 N2 O4,87.664
mp-20106,Li4 Nd2 Sb4,41.162
mp-3158,Li2 Sb1 Pt1,79.179
mp-866202,Li2 Sn1 Pt1,67.708
mp-1125,Li8 S4,40.216
mp-22446,Li4 Pr2 Sb4,41.299
mp-4117,Li4 Si4 O10,78.037
mp-861184,Li2 W1 S4,4.842
mp-862930,Li2 Pm1 In1,38.084
mp-977207,Li4 Mg2,20.429
mp-556777,Li4 C2 O6,75.034
mp-10180,Li2 Sb1 Pd1,68.437
mp-753195,Li2 W1 S4,6.489
mp-755352,Li4 Hf2 O6,106.444
mp-2724101,Li2 Hf1 O3,124.693
mp-1153,Li2 S1,40.49
mp-36864,Li4 Ti2 O6,122.947
mp-865986,Li2 Ca1 Ge1,37.315
mp-12128,Li2 Mg1 In1,29.856
mp-865935,Li2 Mg1 Sn1,34.883
mp-865863,Li2 Tl1 Pd1,48.609
mp-30344,Li2 In1 Ag1,43.023
mp-865714,Li2 Hg1 Au1,40.536
mp-841,Li4 O4,72.65
mp-29009,Li2 Mg1 Br4,19.912
mp-16271,Li2 Cd1 Sb1,36.538
mp-2931,Li8 Ti4 O12,110.301
mp-865987,Li2 Ag1 Pd1,56.116
mp-3201,Li2 Ga1 Pd1,67.604
mp-865879,Li2 Ag1 Au1,49.503
mp-865731,Li2 Hg1 Pd1,52.245
mp-30349,Li2 Ag1 Pb1,39.481
mp-12580,Li2 Cd1 Sn1,35.899
mp-867171,Sr1 Li2 Sn1,30.554
mp-752843,Li2 Cu1 F4,42.328
mp-983425,Li2 Pm1 Ge1,50.35
mp-756187,Li4 Fe2 S4,29.394
mp-866193,Li2 La1 In1,37.747
mp-976843,Li4 Mg2,20.847
mp-865897,Li2 Ac1 In1,35.03
mp-862948,Li2 Pm1 Pb1,40.01
mp-2356674,Li2 Nb1 F6,58.448
mp-11490,Li2 Zn1 Sn1,37.548
mp-5077,Na1 Li2 Sb1,29.136
mp-884085,Li4 Cu2 S4,21.596
mp-4711,Li2 Cu1 O2,84.8
mp-3054,Li4 C2 O6,53.936
mp-31496,Li4 Sn4 Au2,47.106
mp-644389,Li2 H2 Pd1,42.316
mp-21029,Li2 In1 Pd1,59.663
mp-631316,Li2 Ga1 Sb1,35.3
mp-865964,Li2 Ca1 Sn1,34.099
mp-22980,Li2 Co1 Cl4,8.956
mp-754534,Li2 Ce1 O3,95.497
mp-1001914,Li2 Sn1 Ir1,85.092
mp-7777,Li2 Pr1 P2,49.171
mp-15885,Li4 U2 S6,42.596
mp-12029,Li4 Cu2 P2,58.571
mp-4156,Li4 Zr2 O6,100.625
mp-760539,Li2 Ti3 O6,106.055
mp-30405,Li2 Sn1 Au1,55.812
mp-606604,Cs1 Li2 F3,43.461
mp-570950,Na1 Li2 N1,13.822
mp-30381,Li2 Ga1 Au1,59.891
mp-7603,Li4 Ti2 F12,52.093
mp-2492941,Li4 Nb2 S6,52.707
mp-973325,Li2 Mg1 Ge1,38.78
mp-10686,Li2 Cd1 Ge1,40.135
mp-865932,Li2 Ce1 Pb1,46.894
mp-11304,Li2 Cd1 Pb1,32.005
mp-754238,Li2 Cu1 Bi1 O4,90.724
mp-1018009,Li2 Mg1 Si1,44.934
mp-7608,Li2 Pd1 O2,91.447
mp-975997,Na1 Li2 Pb1,22.028
mp-755894,Li8 O4,71.014
mp-570528,Li2 Ga1 Ir1,87.044
mp-1545896,Li12 Sb6,33.938
mp-866181,Li2 Nd1 In1,40.663
mp-1014462,Li2 Y1 Al1,25.838
mp-865067,Li2 Eu1 Ge1,34.651
mp-2935,Li2 Ge1 Au1,61.01
mp-22967,Li2 Fe1 Br4,25.291
mp-31442,Li2 In1 Rh1,70.882
mp-30403,Li2 Pb1 Au1,44.376
mp-30404,Li2 Sb1 Au1,54.242
mp-1029776,Li8 Ge4 N8,83.069
mp-5446,Li2 Pr1 O3,73.939
mp-975578,Li2 Sn1 Hg1,36.577
mp-16238,Li2 Ag1 Sb1,46.551
mp-975608,Li2 Tl1 Pt1,56.12
mp-3726,Li2 Ga1 Pt1,82.351
mp-976333,Li2 Ac1 Tl1,33.082
mp-570466,Li8 Ca4,16.063
mp-19896,Li2 Ge1 Pb1 S4,41.491
mp-865577,Li2 Cd1 Au1,44.869
mp-866178,Li2 Nd1 Al1,42.611
mp-570998,Na1 Li2 N1,41.942
mp-16341,Li2 Hg1 Ge1,41.262
mp-569396,Ba1 Li2 Mg2 Ge2,36.665
mp-754213,Li2 Zr1 Cu1 O4,114.265
mp-2286,Li2 Se1,33.677
mp-976982,Li4 Mg2,21.725
mp-760483,Li4 Pd2 O6,103.12
mp-975609,Li2 Tl1 Pb1,29.094
mp-31443,Li2 In1 Ir1,82.523
mp-19970,Li12 Cu4 O12,81.806
mp-545467,Li3 Cu2 O4,56.183
mp-975882,Li3 Cu1,31.489
mp-975794,Li3 Be1,26.474
mp-752426,Li6 Sb2 S8,38.534
mp-36086,Li3 Nb1 O4,104.609
mp-976256,Li3 Mg1,18.913
mp-976321,Li3 Pr1,20.736
mp-2341,Li6 N2,65.179
mp-975904,Li3 Cd1,22.645
mp-977239,Li3 Th1,26.408
mp-28336,Li12 P28,24.186
mp-976075,Li3 Ca1,14.299
mp-977230,Li3 Tc1,37.523
mp-867342,Li3 Ge1,32.98
mp-551675,Li3 U1 O4,94.691
mp-976334,Li3 Tc1,34.091
mp-976263,Li3 Nb1,31.347
mp-753982,Li3 Cr1 S4,11.688
mp-757,Li6 As2,34.809
mp-9568,Li3 Ga2,38.44
mp-25317,Li3 Cu2 O4,69.336
mp-13725,Li6 P2 O8,70.982
mp-976139,Li3 Mg1,19.333
mp-976254,Li3 Mg1,18.827
mp-1018780,Li3 Sm1 Bi2,38.262
mp-976017,Li3 Co1,-83.57
mp-755309,Li3 Nb1 S4,11.108
mp-975868,Li3 Al1,26.875
mp-985583,Li12 P4 S16,22.427
mp-35417,Li3 Ta1 O4,103.312
mp-977165,Li6 Co2,39.728
mp-11247,Li3 Au1,33.973
mp-753081,Li3 Cu4 O4,61.32
mp-2074,Li3 Sb1,32.535
mp-861228,Li6 Cu2 S4,38.568
mp-16506,Li3 Al2,38.92
mp-736,Li6 P2,39.519
mp-1029562,Li24 In8 N16,85.511
mp-973316,Na2 Li6,11.571
mp-760415,Li3 Sb1 S4,28.938
mp-8407,Li3 La1 P2,56.817
mp-760375,Li3 V1 S4,13.233
mp-867226,Li3 In1,24.555
mp-13944,Li24 Al8 N16,102.784
mp-976264,Li3 Nd1,20.824
mp-867227,Li3 Pt1,46.404
mp-985585,Li3 Cl1 O1,51.628
mp-1646,Li3 Hg1,25.438
mp-28593,Li3 Br1 O1,48.727
mp-977126,Li6 Ag2,26.62
mp-867343,Li3 Cd1,22.509
mp-16828,Li6 B14 O24,64.468
mp-983152,Li6 Re2,-18.964
mp-976055,Li3 In1,24.671
mp-1029592,Li24 Y8 N16,80.904
mp-15254,Li18 Al6 F36,47.682
mp-1018770,Li3 Pr1 Bi2,37.325
mp-976047,Li3 Hg1,25.641
mp-30760,Li3 Pb1,25.566
mp-2251,Li3 N1,51.984
mp-977286,Li3 Sm1,21.078
mp-7955,Li6 Sb2,28.627
mp-850275,Li3 Sb1 S4,9.928
mp-1018764,Li3 Ho1 Sb2,44.465
mp-976412,Li3 Zn1,23.55
mp-976407,Li3 Ac1,16.677
mp-976023,Li3 Ga1,23.233
mp-976408,Li3 Ag1,25.865
mp-27275,Li12 B4 O12,72.847
mp-7396,Li3 Tl1,23.258
mp-976010,Li3 Cr1,22.421
mp-976414,Li3 Zn1,23.562
mp-542435,Li24 Sc8 N16,92.251
mp-23222,Li3 Bi1,28.2
mp-3887,Li24 Ga8 N16,98.991
mp-11489,Li3 Pd1,36.429
mp-15999,Li6 Au2 S4,40.186
mp-976060,Li3 C1,54.763
mp-9172,Li8 Ti2 O8,79.937
mp-7714,Li4 U1 O5,85.449
mp-755298,Li4 Nb1 O4,73.687
mp-861182,Li4 Ti1 S4,24.697
mp-570097,Sr1 Li4 P2,42.562
mp-15845,Sr2 Li8 N4,52.666
mp-865604,Li5 Mg1,17.412
mp-685991,Li10 Si2 P6,35.658
mp-29364,Li5 Sb1 O5,94.256
mp-3838,Li10 Re2 N8,71.86
mp-12283,Li5 Tl2,24.305
mp-685194,Li8 Ti10 O24,108.701
mp-29149,Li4 N1 Cl1,40.286
mp-11737,Li8 Si2 O8,78.989
mp-759877,Li4 Cu1 F7,53.165
mp-29151,Li5 N1 Cl2,38.043
mp-7080,Li5 Ni3 N3,77.127
mp-29025,Li5 Br2 N1,26.516
mp-755013,Li5 Ta1 O5,101.668
mp-981935,Li5 Mg1,17.319
mp-30766,Li5 Sn2,29.691
mp-768197,Li5 Sb1 S4,38.444
mp-767409,Li5 Sb1 S1,34.76
mp-15960,Li40 Al8 O32,80.916
mp-1029448,Li10 Os2 N8,70.247
mp-770649,Li5 Nb1 O5,99.64
mp-1029826,Li12 Os2 N8,84.062
mp-950995,Li12 P2 S10 I2,26.78
mp-867701,Li6 Cu1 S4,33.107
mp-8804,Li12 Mo2 N8,83.422
mp-756490,Li12 Mn2 S8,42.149
mp-3503,Li12 W2 N8,84.394
mp-767525,Li6 Sb1 S2,34.924
mp-1029739,Li12 Fe2 N8,76.66
mp-1029498,Li12 Cr2 N8,84.311
mp-985591,Li6 P1 S5 Br1,27.629
mp-985592,Li6 P1 S5 Cl1,27.54
mp-1029726,Li12 Ir2 N8,83.44
mp-28592,Li7 Br3 O2,37.683
mp-30768,Li14 Sn6,30.336
mp-14753,Li56 Ta8 N32,82.815
mp-1029522,Li56 Sb8 N32,75.104
mp-30767,Li14 Sn4,27.747
mp-14827,Li56 Nb8 N32,81.654
mp-2468835,Li7 B18 O1,129.576
mp-4604,Li56 V8 N32,82.448
mp-27930,Li28 Si8,32.647
mp-28549,Li16 Si2 O12,77.448
mp-755225,Li8 Zr1 O6,93.569
mp-568404,Li9 Al4,31.163
mp-2362521,Li18 Ge8,33.833
mp-30769,Li13 Sn5,29.762
mp-672287,Li26 Si8,32.333
mp-510430,Li26 In6,22.544
mp-1020011,Li14 P2 N6 O3,83.023
mp-567395,Li30 Au8,28.91
mp-569849,Li30 Si8,29.691
mp-1777,Li30 Ge8,28.204
mp-865112,Na1 Pr1 Tl2,35.668
mp-866298,Ba2 Na2 Sc2 Si4 O14,88.541
mp-754326,Na1 Ag1 O2,58.425
mp-29356,Na4 Ti8 O16,143.935
mp-10474,Na1 P1 F6,23.499
mp-865118,Na1 Pr1 Au2,56.68
mp-22152,Na2 Fe2 As2,48.294
mp-571467,Cs2 Na1 Y1 Br6,15.187
mp-15318,Rb2 Na1 Ho1 F6,34.367
mp-865117,Na1 Er1 Tl2,37.926
mp-752947,Na1 Ti1 S2,53.161
mp-454,Na1 Ga4,39.224
mp-5558,Na2 Re2 O8,21.527
mp-4276,Na2 Si4 Pd6,105.869
mp-754375,Na1 Ti2 O3,141.836
mp-31235,Ba3 Na3 Bi3,23.376
mp-4170,Na1 Ta1 O3,201.078
mp-865110,Na1 Mg1 Tl2,24.965
mp-977181,Na1 Mo3,165.314
mp-675798,Na2 Ho2 F8,71.34
mp-4419,Na2 Nb2 O6,130.639
mp-4514,Na2 Nb2 O6,100.75
mp-989545,Rb2 Na1 Sb1 Cl6,18.041
mp-14433,Na2 Ge4 N6,134.959
mp-10525,Na1 Li2 N1,53.888
mp-865126,Na1 Tl1 Pd2,74.545
mp-27837,Na1 H1 F2,32.742
mp-973166,Na2 Cd6,27.528
mp-20227,Na2 Mn2 P2,47.234
mp-1002069,Na1 Li1 I1 Cl1,20.106
mp-504600,Na4 H16 Cl4 O8,19.203
mp-999126,Na1 Tb1 S2,44.885
mp-11466,Na1 Hg2,18.769
mp-7748,Na1 Al1 O2,133.356
mp-30053,Na2 C2 N2,18.145
mp-977176,Na1 Tc1 O3,190.453
mp-6686,K2 Na1 In1 F6,39.509
mp-13097,Na2 Zn2 As2,36.358
mp-4681,Na4 Nb4 O12,92.741
mp-7937,Na2 Nb2 S4,76.388
mp-3136,Na1 Nb1 O3,176.561
mp-13797,K2 Na1 Cu1 F6,42.815
mp-20343,Na2 Au2 O4,40.105
mp-865051,Na1 Ca2 Tl1,22.925
mp-862943,Na1 Pm1 Hg2,43.007
mp-999274,Rb1 Na1 H2,14.995
mp-23054,Na2 Bi2 O6,57.489
mp-7723,Na1 Al1 F4,61.231
mp-976856,Na1 Mg3,24.546
mp-22924,Na1 Bi1,29.484
mp-975994,Na1 La3,21.316
mp-631317,Na1 Ir1 Pb1,49.954
mp-6633,Na4 C4 S4 N4,18.759
mp-5475,Na1 Ta1 N2,136.044
mp-7017,Na1 Nb1 N2,129.459
mp-976181,Na1 B1 H4,19.495
mp-865077,Na1 Cd3,28.313
mp-4531,Na2 N2 O6,26.795
mp-977110,Na1 Sn1 Pd2,80.165
mp-23729,Na1 Be1 H3,59.369
mp-10225,Na1 V1 S2,57.655
mp-974558,Na1,7.76
mp-1002081,K1 Na1 I1 Cl1,14.528
mp-976150,Na1 Al3,48.882
mp-7942,Na1 Ti1 S2,50.05
mp-546500,Na1 C1 N1 O1,27.617
mp-38725,Na2 B2 H8,19.433
mp-6204,Cs2 Na1 Sc1 F6,34.148
mp-578601,Na1 Nb1 O2,133.066
mp-865115,Na1 Nd1 Hg2,42.221
mp-31086,Na4 P20,35.625
mp-999455,Na1 Sm1 S2,43.099
mp-982381,Na1 Cu3,67.875
mp-754777,Na1 La1 O2,63.943
mp-22212,Na4 Sb4 O12,128.735
mp-754825,Na1 Tm1 O2,89.39
mp-976870,Na1 Ni3,96.01
mp-2955,Na4 Mg4 F12,69.146
mp-634657,Na2 H2 S2,21.406
mp-865081,Na1 Ac1 Te2,40.126
mp-22003,Na1 N3,25.56
mp-676586,Na1 V2 S4,43.286
mp-865108,Na1 Sm1 Hg2,43.362
mp-9264,Na2 Te2 Au2,31.246
mp-989541,Rb2 Na1 Sb1 F6,33.711
mp-755586,Na2 La2 O4,82.441
mp-865076,Na1 Cd2 Pt1,69.41
mp-977140,Na1 Ta3,132.843
mp-570998,Na1 Li2 N1,41.942
mp-39681,Na1 Ti2 Bi1 O6,103.839
mp-999127,Na1 Tb1 Se2,37.348
mp-22862,Na1 Cl1,23.77
mp-555576,K2 Na2 S4 O14,23.283
mp-20612,Na2 Mn2 As2,23.526
mp-2720358,Na4 Cl4 O12,25.827
mp-999460,Na1 Sc1 S2,51.116
mp-10172,Na2,7.777
mp-23268,Na1 I1,15.1
mp-976923,Na1 Re1 O3,211.053
mp-962060,Na1 Y1 Si1,38.721
mp-755378,Na1 Pd1 O2,86.526
mp-865109,Na1 Sm1 Tl2,36.766
mp-1021431,Cs1 Na1 I1 Cl1,11.698
mp-999450,Na1 Sm1 Se2,35.686
mp-866128,Na1 Tm1 Tl2,37.535
mp-570538,Na1 N3,23.382
mp-1029316,Na2 Zr1 N2,39.38
mp-1974948,Na6 O3,46.967
mp-1266,Na2 Se1,23.909
mp-7725,Na2 U1 O4,70.652
mp-1025360,Na2 Ti2 As2 O1,59.913
mp-4366,Na2 Pt1 C2,54.301
mp-4533,Na4 Si2 O6,61.337
mp-20389,Na2 Cd1 Pb1,23.527
mp-648,Na2 S1,28.189
mp-690785,Na2 H6 Pt1,22.335
mp-862949,Na1 Pm1 Tl2,36.356
mp-13816,Cs2 Na1 Er1 F6,31.129
mp-560767,K2 Na2 Ti2 O6,58.009
mp-2408760,Na2 Cu4 O6,93.317
mp-976943,Na1 Re3,236.918
mp-8830,Na1 Rh1 O2,109.969
mp-9076,Na1 Tm1 S2,47.536
mp-3405,Na2 Al22 O34,152.126
mp-989644,Cs2 Na1 Ca1 Cl6,16.182
mp-862942,Na1 Pm1 Au2,59.173
mp-973174,Na1 Ag3,52.516
mp-23704,Na2 Al2 H8,19.606
mp-976261,Na1 Ca2 In1,24.704
mp-754027,Na2 Sm2 O4,91.596
mp-999470,Na1 Nd1 S2,41.505
mp-409,Na6 S6,26.857
mp-13798,K2 Na1 Tl1 F6,37.066
mp-560399,Na1 Mg1 F3,71.171
mp-756034,Na1 Sm1 O2,74.437
mp-23850,Na4 H8 N4,13.017
mp-23684,Na2 H2 C2 O4,25.163
mp-10224,Na1 V1 S2,59.208
mp-28614,Na2 B2 Pt6,154.883
mp-10422,Na1 Au1 C2,47.935
mp-255,Na4 Hg4,17.221
mp-4748,Na4 Nb4 O12,124.843
mp-989578,Rb2 Na1 In1 F6,38.727
mp-961699,Na1 Mg1 P1,37.881
mp-13925,Cs2 Na1 Y1 F6,32.42
mp-682,Na1 F1,46.136
mp-7090,Na2 Mg2 Sb2,26.982
mp-5175,Na1 In1 O2,90.689
mp-865100,Na1 In1 Hg2,25.727
mp-999474,Na1 Ho1 Se2,37.932
mp-4699,Na4 Ta4 O12,127.767
mp-1052,Na2 Au4,71.011
mp-8452,Na2 Li2 S2,35.529
mp-961774,Ba1 Na1 Sb1,24.711
mp-976076,Na1 Ac2 Sn1,33.683
mp-974883,Rb3 Na1,3.363
mp-3889,Na6 B6 O12,45.442
mp-3567,Na1 V1 Se2,46.152
mp-962064,Na1 Y1 Sn1,31.152
mp-981933,Na1 Pd2 Pb1,72.915
mp-23339,Na4 Br4 O12,27.038
mp-7939,Na2 Nb2 Se4,61.06
mp-7400,Na2 Al2 Ge2,39.291
mp-961685,Na1 Ca1 As1,33.378
mp-976220,Na1 Cd1 Hg2,24.122
mp-568428,K1 Na1 B2 H8,16.079
mp-14039,K2 Na1 Rh1 F6,43.639
mp-973352,Na2 Co6,29.646
mp-1029357,Na2 Zn2 N2,63.702
mp-5962,Na2 Mg2 As2,33.163
mp-6973,Cs2 Na2 S2,20.614
mp-976768,Na1 Mg3,27.664
mp-29069,Na1 Cu4 S4,58.012
mp-976133,Na1 As1 O3,126.053
mp-3744,Na2 Nb2 O4,146.768
mp-38103,Na1 Cl1 O4,20.812
mp-976863,Na1 Tm3,33.868
mp-976775,Na1 Mg1 O3,67.537
mp-950,Na2 Zn26,64.356
mp-978278,Na4 B24 H24,11.036
mp-989527,Cs2 Na1 N1 F6,35.858
mp-5693,Na1 Cr1 S2,60.393
mp-23918,Na2 Ga2 H8,13.991
mp-754718,Na2 Cu2 O4,59.984
mp-865098,Na1 La1 Au2,55.109
mp-30352,Na2 Ag4,47.598
mp-34240,Na1 Zn1 As1,42.014
mp-7914,Na1 Sc1 O2,100.745
mp-22483,Na2 In2 Te4,19.763
mp-975990,Na1 Li1 O3,49.933
mp-27335,Na2 Al2 Si2,40.723
mp-865107,Na1 Mg1 Pb2,15.404
mp-8754,Na4 Li4 Te4,24.832
mp-755581,Na1 Ce1 O2,64.896
mp-1008866,Na1 Ag1 O1,59.264
mp-4541,Na1 Cu1 O2,58.273
mp-1029407,Na2 Cr2 N4,87.392
mp-989514,Cs2 Na1 Sb1 Cl6,17.435
mp-3521,Na2 B2 F8,28.014
mp-10166,Na2 Al2 Se4,28.308
mp-13799,K2 Na1 Y1 F6,36.926
mp-989563,Rb2 Na1 Tl1 Cl6,17.958
mp-865119,Na1 Pr1 Hg2,41.671
mp-976968,Na1 Pd1 O3,104.533
mp-1007637,K1 Na1 H2,17.067
mp-20555,Na1 Pb3,32.491
mp-1029711,Na4 V4 N8,46.808
mp-570950,Na1 Li2 N1,13.822
mp-982370,Na4,7.773
mp-5339,Cs2 Na2 Te2,14.558
mp-865090,Na1 Ac1 Tl2,31.125
mp-23870,Na1 H1,23.295
mp-9069,K4 Na2 Al2 As4,22.098
mp-3671,Na8 Nb8 O24,101.993
mp-7440,Na8 P8,29.048
mp-977123,Na1 Ti1 O3,138.443
mp-27682,Na1 Sn1 S2,39.706
mp-9035,Na1 Lu1 S2,48.095
mp-977182,Na1 Nb3,116.717
mp-7002,Na1 Ti1 O2,104.141
mp-976319,Na1 Ho3,31.547
