material_id,composition,K_vrh
mp-5788,Na4 U4 O12,83.733
mp-975997,Na1 Li2 Pb1,22.028
mp-9573,Na2 Be2 As2,44.531
mp-976405,Na1 Er3,33.418
mp-754850,Na1 Ti1 S2,52.215
mp-5414,Na2 Sb2 S4,23.333
mp-8973,Na2 Si4 N6,186.672
mp-867147,Ba1 Na1 Hg2,20.768
mp-989608,Cs2 Na1 As1 Cl6,18.551
mp-3795,Na4 Zn4 F12,68.824
mp-6586,K2 Na1 Al1 F6,45.766
mp-989642,Cs2 Na1 Al1 H6,23.548
mp-865097,Na1 Hg1 Pd2,80.025
mp-989561,Na1 Tl2 Ga1 F6,42.375
mp-1009220,Na1 H1,23.963
mp-962066,Na1 Li1 Te1,21.842
mp-977138,Na1 Tc3,186.78
mp-560037,Rb2 Na1 Bi1 F6,32.377
mp-976185,Na1 Be1 O3,109.135
mp-962067,Ba1 Na1 Sn1,18.381
mp-675531,Na2 Bi2 S4,27.308
mp-127,Na1,7.808
mp-7433,Na2 Cu2 Se2,47.267
mp-11180,Na2 C2,28.546
mp-8799,Rb2 Na2 S2,22.388
mp-13459,Na4 Cd4 Sb4,32.293
mp-976289,Na1 Cd2 Au1,49.057
mp-865145,Na1 Tl2 Bi1,27.25
mp-1009223,Na1 As1,42.172
mp-14038,Rb2 Na1 Rh1 F6,40.086
mp-974866,Rb3 Na1,3.34
mp-8868,Ba6 Na2 N2,1.319
mp-13815,Rb2 Na1 Er1 F6,34.753
mp-4824,Na2 Zn2 P2,42.42
mp-1022488,Na1 Mg6 Zr1,35.637
mp-754631,Na1 Cu2 O3,69.185
mp-977117,Na1 Te1 O3,137.484
mp-865111,Na1 Sm1 Au2,59.904
mp-865127,Na1 Tl2 Cd1,23.718
mp-865082,Na1 Ca1 Au2,41.303
mp-972941,Na2 Bi6,32.912
mp-989548,Rb2 Na1 Tl1 F6,34.898
mp-15668,Na4 Se4,21.931
mp-2725306,Na1 Cu3 O4,45.84
mp-973316,Na2 Li6,11.571
mp-643273,Na1 H2 Pd3,108.766
mp-755144,Na2 Li2 O2,55.978
mp-8470,Na2 Pr2 O4,84.293
mp-7240,Na1 Ru1 O2,94.522
mp-977128,Na1 Ru3,172.715
mp-865113,Na1 Nd1 Au2,57.865
mp-578606,Na1 Cu1 O2,111.932
mp-862945,Na1 Pm1 Te2,44.621
mp-755959,Na4 Li4 O4,38.429
mp-976971,Na1 Pd3,97.437
mp-22851,Na1 Cl1,25.834
mp-865120,Na1 Pa1 O3,132.432
mp-631337,Na1 Ta1 Ni1,70.07
mp-9068,K4 Na2 Al2 P4,24.93
mp-758835,Na1 Cu6 O8,127.638
mp-2964,Na1 N1 O2,23.903
mp-22464,Na1 O3,23.841
mp-9574,Na2 Be2 Sb2,34.453
mp-4247,Na2 Zn2 Sb2,31.291
mp-1029466,Na4 Ni4 N4,60.312
mp-7469,Na4 Cu4 O4,47.66
mp-27176,Na2 Mn2 Cl6,27.676
mp-999490,Na1 Dy1 S2,45.768
mp-1009221,Na1 N1,34.757
mp-989523,Rb2 Na1 As1 F6,36.315
mp-1029313,Na2 Ru2 N2,94.744
mp-6058,K2 Na1 Sc1 F6,41.223
mp-989533,Na1 Tl2 In1 F6,39.944
mp-961703,Na1 Li1 Pt1,28.036
mp-22916,Na1 Br1,19.491
mp-754567,Na1 Cd1 O2,69.553
mp-29529,Na2 Sn2 P2,29.913
mp-5077,Na1 Li2 Sb1,29.136
mp-865096,Na1 Ho1 Tl2,38.106
mp-976292,Na1 Cu1,33.222
mp-952566,Na2 Sn2 Sb2,22.663
mp-989568,Cs2 Na1 Mg1 F6,31.063
mp-7434,Na2 Cu2 Te2,31.971
mp-561536,Na2 Mg2 B2 O6,97.556
mp-997041,Na2 Cu2 O4,48.702
mp-34081,Na2 Y2 F8,68.677
mp-976236,Na1 Ca1 Tl2,24.373
mp-990084,Na2 Cl1,13.51
mp-697096,Na2 H4 Pt1,22.706
mp-863707,K1 Na2 Bi1,16.554
mp-15685,Na4 Cu2 As2,31.898
mp-28810,Na4 C2 S6,16.312
mp-865500,Na2 Hf2 O5,102.218
mp-865625,Na4 Mg2 Sn2,22.948
mp-5784,Na4 Ge2 O6,53.912
mp-13520,Na4 Zn2 Ge2,23.139
mp-2352,Na2 O1,45.868
mp-22313,Na2 Pt1 O2,73.912
mp-850251,Na2 Ti9 O19,125.464
mp-15724,K1 Na2 Sb1,18.878
mp-1018810,Na4 Cl2,14.689
mp-9719,Na8 Li4 Al4 P8,40.227
mp-761872,Na4 Sn4 O6,30.323
mp-541989,Na2 C1 N2,39.851
mp-631339,Na2 Li1 Ta1,17.782
mp-546142,Na2 U1 O4,42.279
mp-20495,Na4 C2 O6,43.912
mp-1024067,Na8 Zn4 S8,30.666
mp-989504,Na2 Li1 N1 F6,59.139
mp-2784,Na2 Te1,19.229
mp-755974,Na2 Cu1 O2,67.632
mp-4961,Na2 Hg1 O2,42.323
mp-866132,Na2 Tl1 Sb1,24.55
mp-2340,Na6 O6,49.866
mp-864898,Na2 Tl1 Bi1,22.587
mp-1029309,Na2 Hf1 N2,33.135
mp-973056,Na2 Cd1 Hg1,17.144
mp-631554,Na2 Ti1 Au1,37.563
mp-1029605,Na8 Mn4 N8,44.14
mp-556125,Na8 B4 H4 O12,47.14
mp-11820,Ba4 Na8,8.587
mp-556536,Na2 Zr1 Cu2 S4,49.275
mp-975275,Rb1 Na2 Sb1,17.884
mp-643260,Na2 H4 Pd1,20.548
mp-8871,Cs2 Na4 B2 O6,47.016
mp-23954,Na2 H2 Pd1,28.047
mp-3488,Na4 Ti6 O14,97.103
mp-7639,Na4 Cu2 P2,34.554
mp-7219,Na4 Zr2 Se6,34.893
mp-15113,Na4 Si6 O14,101.485
mp-2831941,Na2 Cd1 Sn1 S4,30.022
mp-27562,Na2 Pd3 O4,94.869
mp-7149,Na2 Li1 N1,33.247
mp-4823,Na2 Pd1 C2,47.04
mp-1136,Na6 As2,22.238
mp-3416,Na6 Al2 F12,50.993
mp-754483,Na3 Cu2 O4,33.577
mp-977403,Na3 Tl1,12.052
mp-675104,Na3 Y1 Cl6,20.048
mp-864742,Na3 Sn1,17.492
mp-977062,Na3 Ca1,9.908
mp-10167,Na3 Sb1 S4,21.399
mp-977189,Na3 Bi1,19.11
mp-27478,Na3 Pa1 F8,42.892
mp-8543,Na6 Al2 As4,23.337
mp-754352,Na6 Cu2 O4,50.896
mp-1006112,Na3 Co1,16.754
mp-977200,Na3 C1,22.193
mp-27321,Na6 Cu8 S8,41.123
mp-28602,Na3 Cl1 O1,32.992
mp-864765,Na3 Hf1 F8,43.786
mp-676512,Na3 Al1 F6,47.494
mp-34579,Na3 Hf1 F7,39.246
mp-999496,Na3 N1,27.127
mp-982773,Na3 Tl1,11.861
mp-985584,Na3 P1 S4,22.647
mp-27838,Na6 Bi2,17.175
mp-11738,Na6 P2 S6 O2,25.786
mp-983509,Na6 Cd2,11.971
mp-7956,Na6 Sb2,19.462
mp-29551,Na3 Hg1,12.299
mp-6328,Na2 Ti2 Sb2 O1,52.503
mp-1019551,Ba1 Na2 Mg1 P2 O8,82.728
mp-990440,Na8 Zr4 O12,80.895
mp-4770,Na4 S2 O8,42.716
mp-985586,Na3 Br1 O1,31.663
mp-473,Na12 P44,13.739
mp-2774343,Na3 Be1,14.383
mp-558432,Na24 P8 S16 O16,27.644
mp-2639,Na3 N1,21.088
mp-999495,Na3 N1,29.531
mp-779545,Na6 Cu2 O4,43.258
mp-542136,Na6 P2 S2 O6,38.66
mp-974270,Na3 Al1,14.872
mp-28630,Na12 B4 N8,46.765
mp-8703,Na3 Sb1 Se4,19.392
mp-8860,Na3 As1,24.248
mp-864758,Na3 In1,13.554
mp-982595,Na3 Re1,18.675
mp-982637,Na3 Mg1,11.333
mp-5122,Na6 Al2 P4,28.353
mp-864745,Na3 Zr1 F8,41.055
mp-28782,Na6 P2 S8,22.958
mp-1186018,Na3 Au1,18.941
mp-1029595,Na12 Os4 N8,41.387
mp-982981,Na6 Rh2,20.449
mp-982873,Na3 Tl1,11.581
mp-1598,Na6 P2,24.781
mp-3527,Na6 Ag2 O4,50.007
mp-27579,Na16 P8 O28,45.175
mp-22937,Na4 I2 O1,20.124
mp-28591,Na4 Hg1 P2,23.476
mp-542090,Na8 Al6 Si6 O24,24.097
mp-551886,Na4 C1 O4,32.124
mp-8752,Na4 Cd1 P2,23.586
mp-555678,Na4 Ti5 O12,133.543
mp-28698,Na4 Ir1 O4,41.96
mp-760492,Na4 Pt1 O4,54.146
mp-28599,Na4 Br2 O1,25.283
mp-568866,Na6 Zn1 Sn2,16.146
mp-778364,Na12 Ti4 O14,46.367
mp-3138,Na16 Sn2 Sb8,18.677
mp-28017,Na16 Ti10 O28,74.063
mp-8253,Na5 Re1 O6,56.295
mp-20067,Na5 Os1 O6,55.843
mp-29308,Na5 Co2 S5,33.706
mp-5929,Na20 Si4 P12,30.046
mp-1029574,Na10 Os2 N8,39.663
mp-760400,Na5 Bi1 O5,58.661
mp-11147,Na5 Cu1 S1 O2,35.442
mp-1029542,Na12 Mo2 N8,54.672
mp-8389,Na12 Zn2 S8,31.23
mp-1029656,Na12 W2 N8,53.691
mp-2861134,K1 Mg6 Zr1,29.002
mp-6178,Cs2 K1 Ti1 F6,41.268
mp-962072,K1 Y1 Sn1,26.23
mp-3982,K2 Cu2 O4,34.178
mp-961648,K1 Ba1 P1,25.882
mp-1029347,K2 Pt2 N2,66.018
mp-7438,K2 Zn2 Sb2,24.441
mp-546633,K1 Cl1 O4,15.769
mp-1021327,K1 Li1 I1 Cl1,15.287
mp-7077,K2 Au2 S2,13.02
mp-1029404,K2 Ge4 N6,135.298
mp-23959,K2 P2 H4 O8,24.639
mp-35035,K1 C1 N1,15.286
mp-7938,K2 Nb2 S4,69.488
mp-3827,K2 Fe2 S4,16.879
mp-6179,K2 Li2 S2 O8,36.141
mp-974061,K1 Si1 O3,178.452
mp-21847,K2 Mn2 As2,9.764
mp-5347,K1 Al1 F4,58.079
mp-8608,K1 Cu4 As2,51.763
mp-10102,K1 Ag1 C2,29.114
mp-1184755,K2,3.576
mp-16293,K4 Sb4 O12,112.518
mp-4495,K2 Li2 Te2,19.903
mp-1018031,K1 In1 O2,86.691
mp-30533,K2 Pt4 S6,31.59
mp-863707,K1 Na2 Bi1,16.554
mp-568747,K1 Ni2 Se2,36.261
mp-604318,K4,3.566
mp-4233,K2 Mn2 Sb2,22.579
mp-631473,K1 Ti2 Bi1,53.236
mp-976271,K1 Ti2 F7,83.985
mp-7621,K2 Tc2 O8,17.135
mp-6968,Cs2 K1 Cu1 F6,34.359
mp-973471,K1 Re1 O3,201.94
mp-974827,K1 Pr3,21.468
mp-24428,K2 H4 N2,19.158
mp-10175,K1 Cd1 F3,55.986
mp-1002081,K1 Na1 I1 Cl1,14.528
mp-7375,K1 Nb1 O3,103.322
mp-34857,K1 N1 O2,14.294
mp-6867,K1 Ca1 C1 O3 F1,51.664
mp-696752,K2 P2 H4 O8,26.171
mp-560767,K2 Na2 Ti2 O6,58.009
mp-463,K1 F1,29.839
mp-1866,K1 O2,24.246
mp-8175,K1 Tl1 O2,71.739
mp-669347,K2 Cu2 F6,83.598
mp-40143,Cs2 K1 Zr1 O1 F5,29.868
mp-10157,K1,3.578
mp-768864,K2 Nd2 O4,69.273
mp-643989,K2 H2 C2 O4,18.439
mp-5158,K4 N4 O12,17.312
mp-23289,K1 Cl1,18.701
mp-7437,K2 Zn2 P2,36.508
mp-4608,K1 P1 F6,23.365
mp-24084,K1 H1,13.704
mp-754158,K1 Nd1 O2,69.683
mp-631254,K1 Mn1 Ru1,37.715
mp-773137,K2 Ca2 Bi2,16.088
mp-16236,K2 Ag2 Se2,27.612
mp-571263,K1 In9 Co2,48.749
mp-23526,K4 Cl4 O16,16.231
mp-982040,K1 Bi1 O3,86.685
mp-631322,K1 Sn1 Os1,58.658
mp-558518,K1 Ni2 S2,30.804
mp-567657,K1 Cu2 Se2,29.409
mp-973396,K1 Be1 O3,92.168
mp-22898,K1 I1,10.558
mp-4126,K1 U1 O3,134.466
mp-631296,K1 Hf1 Ni1,34.014
mp-1021848,K1 Mg6 V1,27.035
mp-4668,K1 Co2 Se2,50.314
mp-4519,K1 Pr1 O2,67.63
mp-8267,K2 P2 S6,10.254
mp-23251,K1 Br1,13.432
mp-9349,K1 Rb2 Sc1 F6,33.983
mp-10417,K2 Sb2 O4,23.533
mp-28270,K4 Cu4 S4,16.721
mp-631345,K1 Zr2 Nb1,66.328
mp-631318,K1 Si1 Tc2,126.524
mp-982885,K1 Ca1 O3,40.526
mp-634431,K4 H4 C4 O12,23.521
mp-631274,K1 Fe1 P1,95.326
mp-634676,K2 H2 S2,14.213
mp-19851,K2 In2 Te4,14.982
mp-631536,K1 B1 Ir2,136.47
mp-1019089,K2 Mg2 As2,27.165
mp-12015,K1 Ag2 As1 O4,55.676
mp-1017580,K1 Mg1 H3,20.908
mp-989580,Cs2 K1 N1 F6,34.612
mp-29374,K4 Ga4 Sb16,21.147
mp-3614,K1 Ta1 O3,188.716
mp-982195,K1 Nd3,22.351
mp-30717,K2 Hg4,11.826
mp-2464440,K1 Ag1 Cl3,31.855
mp-6074,K1 Rb2 Ti1 F6,34.699
mp-973267,K1 Tc1 O3,180.938
mp-631314,K1 Ta1 Pt1,75.145
mp-7622,K2 S2 O8,21.988
mp-12079,K1 Co2 S2,57.052
mp-1007637,K1 Na1 H2,17.067
mp-31368,K2 Cl2 O4,17.963
mp-973250,K1 La3,19.467
mp-755480,K2 Rb2 O2,17.77
mp-1018051,K1 Ti1 S2,51.441
mp-8409,K1 Y1 O2,78.584
mp-8454,K1 F1,33.925
mp-998913,K1 O3,14.064
mp-2828744,K1 Hf1 Mg6,29.655
mp-23193,K1 Cl1,16.489
mp-6870,K1 Be2 B1 O3 F2,49.645
mp-866169,K1 Tl2 Bi1,22.656
mp-7089,K2 Mg2 Sb2,23.427
mp-863710,K1 Ac1 Te2,37.606
mp-631525,K1 Hg2 B1,22.492
mp-9318,K2 Zr2 Cu2 Se6,30.478
mp-11132,K2 Pr2 Te8,24.932
mp-569857,K8 P12,16.217
mp-6494,K2 Ca1 C2 O6,46.261
mp-8724,K4 Te2 O6,23.313
mp-863757,K4 Sb2 Au2,16.33
mp-9778,K4 Ag2 P2,22.143
mp-8700,K2 Au3,33.183
mp-10662,K4 C2 O6,30.395
mp-7502,K2 Sn2 O3,23.584
mp-27839,K2 Ti1 Cl6,12.238
mp-8187,K4 Zn2 O4,42.145
mp-6686,K2 Na1 In1 F6,39.509
mp-3963,K8 C4 O12,27.466
mp-8262,K4 P6,16.206
mp-13797,K2 Na1 Cu1 F6,42.815
mp-8415,K2 Hf1 F6,51.219
mp-27138,K2 Pd1 Br4,10.178
mp-23956,K2 Mg1 H4,23.064
mp-7824,K2 Re1 F6,26.136
mp-7667,K4 S6,14.703
mp-9672,K4 Ni2 P4,20.879
mp-27243,K2 Pt1 Br4,10.721
mp-1022,K2 S1,18.259
mp-13798,K2 Na1 Tl1 F6,37.066
mp-31212,K2 Mg1 F4,45.872
mp-8621,K2 Pt1 Se2,28.157
mp-27304,K2 Mn1 Cl6,11.197
mp-643257,K2 H4 Pd1,14.628
mp-867920,K2 Rh2 O5,84.38
mp-8623,K2 Te2 Pt1,22.506
mp-14039,K2 Na1 Rh1 F6,43.639
mp-3970,K2 Ti1 F6,27.845
mp-27691,K2 Pt1 Br6,12.515
mp-8446,K4 Cu2 P2,21.887
mp-7643,K4 Ag2 Sb2,17.264
mp-1025158,K2 Pu1 O4,53.382
mp-3042,K2 Si1 F6,19.56
mp-15684,K4 Cu2 As2,22.329
mp-20623,K4 Cd2 C8 N8,14.761
mp-571440,K8 Cu4 Br12,15.253
mp-8891,K2 Zr1 B2 O6,64.928
mp-13190,K1 Rb2 Ga1 F6,35.653
mp-8756,K2 Li2 Se2,24.635
mp-12414,K1 U2 Se6,36.136
mp-22901,K1 I1,12.418
mp-15687,K1 Zn1 As1,30.741
mp-571124,Cs2 K1 Sc1 Cl6,16.957
mp-7569,K1 As1 F6,16.776
mp-23846,K2 H2 F4,26.337
mp-7911,K4 Cu4 O4,33.195
mp-15724,K1 Na2 Sb1,18.878
mp-4950,K1 Ca1 F3,48.658
mp-549490,K1 Nb4 O5 F1,139.204
mp-7959,K1 Er1 O2,83.58
mp-12532,K1 Ag2 P1 S4,36.776
mp-1076,K1 B6,133.72
mp-22958,K1 Br1 O3,19.057
mp-1019105,K2 Mg2 Bi2,19.85
mp-6847,K1 Y2 Ti2 S2 O5,73.072
mp-35276,K1 Fe2 As2,48.787
mp-10092,K1 Cu4 Se3,41.111
mp-29138,K2 Au2 Se4,20.785
mp-10161,K1 Zn1 Sb1,24.144
mp-827,K2 N6,20.517
mp-568428,K1 Na1 B2 H8,16.079
mp-3553,K2 Te2 Au2,27.321
mp-27418,K1 Au1 O2,46.429
mp-3448,K1 Mg1 F3,74.789
mp-27677,K1 Cu4 S3,47.956
mp-5246,K1 Nb1 O3,103.853
mp-559612,K4 Li4 O4,31.925
mp-5566,K2 Cu2 F6,68.887
mp-1021423,K1 Mg6 Ti1,48.731
mp-7483,K4 Hg4 F12,50.671
mp-4342,K1 Nb1 O3,109.845
mp-570303,K2 Tm2 I6,17.864
mp-556609,K2 Sb2 P4 S12,10.832
mp-569886,K1 In9 Ni2,39.521
mp-1018652,K2 Cd2 Sb2,21.748
mp-7387,K2 Ag2 F8,23.276
mp-40204,K1 Zr1 Tl2 O1 F5,31.533
mp-631464,K1 Be1 Pt1,38.778
mp-8188,K1 Sc1 O2,95.827
mp-760376,K1 Ti1 O3,52.449
mp-9884,K2 Fe2 Se4,19.144
mp-5878,K1 Zn1 F3,71.15
mp-962073,K1 Ba1 Sn1,14.567
mp-935811,K1 Nb1 O3,172.61
mp-2910,K2 Al2 F8,47.118
mp-2789384,K1 Mg6 Nb1,30.941
mp-981313,K1 Tb1 O3,54.299
mp-10165,K2 Al2 Te4,17.465
mp-1002083,Cs1 K1 I1 Cl1,10.751
mp-7940,K2 Nb2 Se4,56.925
mp-989585,Cs2 K1 Pb1 F6,26.386
mp-7421,K2 Zn2 As2,30.9
mp-1009048,K1 Ag1 O1,42.453
mp-1018072,K1 Ti1 S2,51.499
mp-984357,Cs1 K1 O3,38.067
mp-882700,K2 Ti2 F8,35.497
mp-27865,K4 Mg4 Cl12,31.053
mp-12098,K1 P2 Rh2,54.245
mp-973830,K1 Er1 O3,65.414
mp-6812,K4 Ba4 P4 O16,55.459
mp-9490,K1 Ag2 Sb1 S4,30.86
mp-753774,K1 Tm1 O2,85.994
mp-9061,K1 Pd1 F3,68.848
mp-974842,K1 Pt1 O3,119.312
mp-6560,K2 S2 O4 F2,17.575
mp-569408,K1 Co2 As2,37.779
mp-631329,K1 Mo1 Ru2,142.296
mp-15781,K1 La1 S2,37.153
mp-1021424,K1 Mg6 Mo1,39.445
mp-7436,K2 Cu2 Te2,29.374
mp-4026,K1 Cr1 S2,55.286
mp-631408,K1 Si2 Hg1,34.801
mp-23737,K1 Mg1 H3,34.622
mp-14796,K2 Pt4 Se6,24.605
mp-7420,K2 Hg2 As2,25.11
mp-8013,K1 Ru1 F6,11.553
mp-570891,K1 Br1,15.624
mp-1023129,K1 Cu1 Cl3,38.496
mp-15783,K1 Sm1 S2,40.489
mp-9881,K2 Au2 Se2,13.45
mp-5309,K2 Au2 F8,22.107
mp-23562,K2 I2 O8,20.199
mp-989529,K1 Rb2 In1 Cl6,16.539
mp-754883,K1 Ho1 O2,82.791
mp-551092,K2 Li2 Zn2 O4,58.328
mp-636056,K2 N6,4.298
mp-1029444,K4 Co4 N4,43.832
mp-974738,K1 Sr3,9.273
mp-7435,K2 Cu2 Se2,35.575
mp-23487,K4 I4 O12,21.031
mp-20422,K2 Mn2 P2,11.679
mp-626785,K2 H2 O2,30.922
mp-555576,K2 Na2 S4 O14,23.283
mp-556084,K4 Cl4 O12,15.73
mp-3486,K2 Sn2 Sb2,19.885
mp-10423,K1 Au1 C2,34.812
mp-1029336,K4 Zn4 N4,36.495
mp-9583,K2 Zn1 F4,45.168
mp-9486,K2 Al1 F5,27.421
mp-22956,K2 Pd1 Cl4,11.845
mp-14168,K4 Ge2 F12,22.604
mp-540584,K2 Pd1 O2,54.425
mp-1023132,K4 Cu2 Cl4 F4,19.095
mp-504935,K8 Pb4 O12,38.231
mp-22756,K4 Pb2 O6,39.098
mp-4731,K2 U1 F6,45.281
mp-9839,K2 Li1 Al1 F6,49.406
mp-10408,K2 C1 N2,31.342
mp-23036,K2 Se1 Br6,11.09
mp-9068,K4 Na2 Al2 P4,24.93
mp-5699,K2 Cu1 F4,43.612
mp-23513,K2 Pt1 Cl6,12.754
mp-6058,K2 Na1 Sc1 F6,41.223
mp-569149,K2 Te1 Cl6,10.788
mp-568914,K2 W1 Cl6,12.36
mp-8414,K2 Hf1 F6,15.293
mp-643279,K2 H6 Pt1,15.531
mp-2672,K4 O4,32.413
mp-1747,K2 Te1,13.039
mp-568333,K2 Sn1 Br6,10.429
mp-23505,K2 Te1 Br6,10.176
mp-28163,K2 Pd1 F4,24.004
mp-22947,K2 Re1 Cl6,11.602
mp-4529,K8 S4 O16,28.688
mp-13799,K2 Na1 Y1 F6,36.926
mp-10381,K4 Cu2 Sb2,17.39
mp-989587,K2 S1 Br1 Cl6,17.784
mp-3808,K2 U1 O4,60.113
mp-9069,K4 Na2 Al2 As4,22.098
mp-695998,K8 Zn4 H16,16.778
mp-23067,K2 Pd1 Cl6,12.406
mp-27835,K2 Os1 Br6,12.514
mp-6586,K2 Na1 Al1 F6,45.766
mp-1021516,K2 Sn1,8.242
mp-22934,K2 Pt1 Cl4,12.029
mp-8426,K2 Se1,15.851
mp-7928,K2 Pt1 S2,35.048
mp-4264,K4 S4 O10,20.378
mp-863759,Cs1 K2 Bi1,10.835
mp-27207,K2 Mg1 Cl4,21.759
mp-23021,K2 Re1 Br6,11.063
mp-3821,K2 Pt1 F6,24.229
mp-571594,K6 Ag2 Sn6 Se16,14.728
mp-982665,K3 In1,6.339
mp-973627,K3 Sr1,4.92
mp-14018,K6 As2,12.83
mp-568516,K3 Bi1,11.606
mp-1029756,K12 B4 N8,29.455
mp-28980,K12 Bi4 Se12,12.443
mp-7439,K3 Cu3 P2,25.523
mp-11801,K6 N2,2.72
mp-571461,K4 Zn1 As2,14.495
mp-29584,K4 Be1 As2,16.006
mp-768368,K4 I2 O1,13.588
mp-11719,K4 Zn1 P2,17.068
mp-28302,K4 Cd1 P2,16.356
mp-29484,K4 Hg1 As2,14.347
mp-8753,K4 Hg1 P2,16.008
mp-29585,K4 Cd1 As2,14.836
mp-551736,K4 C1 O4,17.431
mp-28627,K4 Br2 O1,15.726
mp-9872,K4 Be1 P2,18.358
mp-8624,K4 Sn4 O6,23.501
mp-31363,K2 Ta1 Cl6,12.244
mp-7979,K2 Pd1 F6,23.767
mp-581024,Cs1 K2 Sb1,12.368
mp-9687,K4 P2 Au2,21.569
mp-27632,K2 Tc1 Cl6,11.33
mp-971,K4 O2,27.218
mp-23499,K2 Sn1 Cl6,11.298
mp-28166,K3 Br1 O1,19.399
mp-10159,K3 Sb1,13.114
mp-973554,K3 Sm1,6.764
mp-28273,K24 Cu8 O16,27.774
mp-1184863,K3 Mo1,6.71
mp-690789,K3 Re1 H6,25.075
mp-983388,K3 Hg1,4.365
mp-684709,K6 B34,97.13
mp-974641,K3 Tl1,5.319
mp-9200,K3 Au1 O1,18.66
mp-28171,K3 I1 O1,18.587
mp-973446,K3 W1,8.076
mp-973614,K3 Sn1,9.269
mp-29379,K12 Bi4 Te12,9.122
mp-973528,K3 Si1,9.969
mp-14205,K3 Cu3 As2,23.904
mp-9665,K6 B2 As4,16.559
mp-557753,K12 P4 O16,36.838
mp-974627,K3 Tl1,5.574
mp-982780,K3 Cd1,5.074
mp-973622,K3 Sr1,4.901
mp-973271,K3 Y1,7.141
mp-973265,K3 Zr1,6.941
mp-973535,K3 Sc1,23.71
mp-982664,K3 In1,6.456
mp-7897,K6 P2,13.975
mp-23697,K3 Al1 H6,18.623
mp-9664,K6 B2 P4,18.515
